,Local authority,Region,Estimated jobs,Estimated jobs - local authority and independent sectors only,Estimated jobs - Direct payment recipients only,Estimated jobs - Local authority sector - Percentage,Jobs - local authority sector,Estimated jobs - Independent sector - Percentage,Total CQC regulated establishments,Estimated managerial jobs CSSR,Estimated regulated professionals jobs CSSR,Estimated direct care jobs CSSR,Estimated Other jobs CSSR,Percentage jobs full time (CSSR),Percentage jobs part time (CSSR),Percentage no fixed hours (CSSR),Percentage jobs on zero hours (CSSR),Percentage jobs zero hours (region),Average days sickness (CSSR),Average days sickness (region),Estimate whole sector number of sickness days lost for CSSR,Starters rate (CSSR),Starters rate (region),Proportion recruited from within ASC,Turnover rate (CSSR),Estimated total leavers,Turnover - (region),Exp in Sector - Average - (CSSR),Percentage in ASC 3 yrs or more,Vacancy rate - CSSR,Estimated total vacancies,Vacancy rate - (region),Gender (percentage female),Average age - CSSR,Percentage aged 24 or under - CSSR,Percentage aged 55 or over - CSSR,Nationality - British -CSSR,Nationality - EEA - CSSR,Nationality - non-EEA - CSSR,Nationality - British - Region,Qual - Percentage with - CSSR,Qual - Percentage with - Region,Care Certificate - Percentage,Senior care worker - Average hourly rate (Local authority),Senior care worker - Average hourly rate (Region),Care worker - Average hourly rate (Local authority),Care worker - Average hourly rate (Region),Support and outreach - Average hourly rate (Local authority),Support and outreach - Average hourly rate (Region),E-code,ONS Code,Local Authority (original names),Class,"Employees
 (C1)__27","Running Expenses
 (C2)__27","Total Expenditure
 (C3 = C1 + C2)__27","Sales, Fees and Charges
 (C4)__27","Other Income
 (C5)__26","Total Income
 (C6 = C4 + C5)__27","Net Current Expenditure
 (C7 = C3 - C6)__27"
1,Barking & Dagenham,London,6700,5200,1500,4%,295,73%,93,475,175,5600,425,0.40533948,0.279160494,0.315500026,0.558149676,0.390614868,2.974445749,4.121498218,13500,0.534174491,0.388760758,0.747268257,0.251065032,1200,0.272251122,6.148315206,0.676212762,0.173565892,950,0.104663279,0.792749614,43.08534252,0.045158201,0.16653656,0.529717744,0.130656455,0.3396258,0.605826199,0.529727478,0.527171039,0.187586508,8.485184617,9.568243972,7.695202828,8.683570288,8.662184057,9.985444853,E5030,E09000002,Barking & Dagenham,L,11861,57406,69267,6833,16696,23529,45738
2,Barnet,London,10500,9300,1100,3%,351,86%,166,850,400,8100,1000,0.406239409,0.392535561,0.20122503,0.386431932,0.390614868,6.08045622,4.121498218,49000,0.307029005,0.388760758,0.686626564,0.207011443,1700,0.272251122,7.826983142,0.681344929,0.104309885,950,0.104663279,0.822337368,45.3540643,0.044472681,0.254783759,0.372452652,0.246607929,0.380939419,0.605826199,0.489326449,0.527171039,0.178256533,9.533249221,9.568243972,8.271323197,8.683570288,9.137172916,9.985444853,E5031,E09000003,Barnet,L,16367.6865,127195.8758,143563.5623,26298.24642,13672.13913,39970.38555,103593.1768
3,Barnsley,Yorkshire and the Humber,6200,5200,1100,4%,250,79%,107,375,175,5000,650,0.587897725,0.322077739,0.090024536,0.249161602,0.196084667,3.652974501,6.029229693,18000,0.406732396,0.366197886,0.791230185,0.382463362,1900,0.311660638,8.333392683,0.697652487,0.048815327,250,0.055513416,0.843408453,42.39417211,0.113016392,0.221317409,0.975589618,0.008389846,0.016022493,0.925473709,0.61348206,0.57061915,0.190688993,8.255514934,8.783693196,7.708479471,7.992481685,9.320882338,9.278567484,E4401,E08000016,Barnsley,MD,11729,82092,93821,13616,18024,31640,62181
4,Bath and North East Somerset,South West,4200,3700,475,2%,82,87%,80,300,200,3100,600,0.520518277,0.410758829,0.068725588,0.115858093,0.18549455,4.282905923,5.168787304,15500,0.313979187,0.399634242,0.800897018,0.333965462,1200,0.33125035,7.176101069,0.675977157,0.081968267,325,0.074857429,0.799671363,41.62735501,0.111925222,0.201686286,0.759286696,0.177313256,0.063400048,0.84586414,0.511688172,0.527590602,0.203157072,9.700536783,8.98543731,8.869703699,8.153112596,8.58324485,8.978998695,E0101,E06000022,Bath and North East Somerset UA,UA,3549,101346,104895,249,40578,40827,64068
5,Bedford,Eastern,5900,5700,125,10%,604,87%,129,475,225,4500,650,0.574031566,0.301257565,0.12471263,0.240699406,0.261152713,2.744272439,4.934628776,14500,0.353877199,0.389379679,0.759240743,0.281120116,1500,0.339015306,7.680426417,0.723105115,0.118655001,700,0.096876067,0.816010717,42.35330111,0.106810284,0.225430484,0.755887354,0.102064491,0.142048155,0.816081532,0.54587718,0.476663883,0.109691911,9.34979583,8.964711058,8.229052396,8.184630706,9.893350012,8.946562533,E0202,E06000055,Bedford UA,UA,12757,59035,71792,8832.019,7404.437,16236.456,55555.544
6,Bexley,London,5100,4900,275,6%,289,89%,70,425,250,3900,600,0.40304602,0.372067177,0.224884745,0.37558039,0.390614868,2.956868169,4.121498218,13500,0.44871109,0.388760758,0.714826706,0.313370128,1400,0.272251122,6.971031942,0.694315469,0.126201638,650,0.104663279,0.88150778,45.36785832,0.065240389,0.263495102,0.732316621,0.070120194,0.197561126,0.605826199,0.488832634,0.527171039,0.140575862,8.889659887,9.568243972,8.152244129,8.683570288,8.75204499,9.985444853,E5032,E09000004,Bexley,L,10085,71088,81173,10864,13853,24717,56456
7,Birmingham,West Midlands,30000,28000,2300,8%,2421,84%,542,2400,1400,23000,3200,0.486035804,0.372933956,0.141029878,0.259137063,0.228483853,4.296526985,4.929270438,109000,0.36442324,0.356604118,0.631800402,0.332684833,8400,0.295452131,8.058228862,0.702981909,0.055611233,1500,0.066944312,0.799967497,42.46685133,0.100382819,0.199711825,0.812406114,0.056317489,0.131276397,0.871078776,0.595242716,0.572395799,0.188116984,9.153837213,8.844568308,7.963986001,8.011474827,9.154246101,9.473416934,E4601,E08000025,Birmingham,MD,86943,332925,419868,48852,53458,102310,317558
8,Blackburn with Darwen,North West,4100,3500,650,7%,275,77%,62,275,200,3300,375,0.564077779,0.351777957,0.084141317,0.297431348,0.214671787,3.338429106,5.507111486,9800,0.455389323,0.341105224,0.718214557,0.304189051,900,0.301673567,9.674645322,0.731426197,0.038643837,125,0.070555475,0.819124607,41.8899924,0.104791319,0.200258162,0.971154243,0.009719382,0.019126376,0.927907989,0.513270581,0.574447303,0.1056607,8.368906975,8.625317525,7.608518549,7.96388592,9.600951146,8.843358886,E2301,E06000008,Blackburn with Darwen UA,UA,7406,62444,69850,7034,17170,24204,45646
9,Blackpool,North West,5000,4500,550,11%,575,78%,93,375,200,3800,600,0.570155279,0.36353045,0.066314271,0.247424158,0.214671787,4.530994296,5.507111486,19000,0.323525455,0.341105224,0.551318867,0.273913341,1200,0.301673567,8.443975443,0.690653244,0.061003825,275,0.070555475,0.772966405,42.52032685,0.09757252,0.227470487,0.908357378,0.051837676,0.039804946,0.927907989,0.573168012,0.574447303,0.163975534,8.456299972,8.625317525,7.813403367,7.96388592,10.02689547,8.843358886,E2302,E06000009,Blackpool UA,UA,16039,59232,75271,14911,16858,31769,43502
10,Bolton,North West,7100,5700,1400,9%,663,71%,96,475,300,5700,600,0.505792222,0.377361292,0.116846486,0.201440324,0.214671787,8.428479614,5.507111486,42000,0.279517509,0.341105224,0.723044297,0.22514763,1100,0.301673567,9.238250758,0.777477931,0.037244298,200,0.070555475,0.844766676,42.66831023,0.093553888,0.217243238,0.930959892,0.018386661,0.050653447,0.927907989,0.597128189,0.574447303,0.094863434,8.685137457,8.625317525,8.119929921,7.96388592,10.54593121,8.843358886,E4201,E08000001,Bolton,MD,22209,87496,109705,12886,25592,38478,71227
11,Bournemouth,South West,7000,6400,650,5%,326,86%,143,650,325,5100,950,0.563508652,0.329817886,0.106673462,0.163202549,0.18549455,3.300728066,5.168787304,20500,0.475372623,0.399634242,0.616057456,0.360596848,2200,0.33125035,9.278458789,0.740632812,0.06910754,450,0.074857429,0.807178267,43.10743481,0.086440617,0.225054834,0.694409313,0.187153035,0.118439216,0.84586414,0.522034603,0.527590602,0.126663988,8.861255177,8.98543731,8.245018135,8.153112596,8.88107725,8.978998695,E1202,E06000028,Bournemouth UA,UA,10625,79315,89940,1339,29328,30667,59273
12,Bracknell Forest,South East,2300,2200,150,15%,344,79%,31,225,100,1700,250,0.60495011,0.328344312,0.066700946,0.197314174,0.225662962,5.244724129,4.800241288,10500,0.416544427,0.380447713,0.433822508,0.242294001,500,0.302660805,8.743313229,0.746768949,0.100854671,225,0.086517489,0.834445093,42.90014546,0.06913292,0.20016769,0.721796048,0.200626291,0.077573029,0.771298639,0.525287899,0.493063744,0.158453542,9.57911733,9.219536233,9.461881037,8.374979322,10.58795396,9.687891049,E0301,E06000036,Bracknell Forest UA,UA,9935,35772,45707,4715,7845,12560,33147
13,Bradford,Yorkshire and the Humber,13000,12000,900,12%,1562,81%,201,950,600,9700,1600,0.510603319,0.383089211,0.106306629,0.179153804,0.196084667,11.74628047,6.029229693,133000,0.362461911,0.366197886,0.662402622,0.294064686,3300,0.311660638,8.696010157,0.748269941,0.084467168,1000,0.055513416,0.82493187,42.51077159,0.111558438,0.224035647,0.878855035,0.044021125,0.077122998,0.925473709,0.592862017,0.57061915,0.063562698,8.879518727,8.783693196,7.848542738,7.992481685,9.95638459,9.278567484,E4701,E08000032,Bradford,MD,36121,151391,187512,28114,37863,65977,121535
14,Brent,London,7500,6300,1300,5%,355,78%,126,600,300,6000,600,0.548464191,0.261169664,0.190367756,0.376089409,0.390614868,4.009594373,4.121498218,22000,0.395514499,0.388760758,0.743408754,0.296495771,1600,0.272251122,5.950056404,0.79526365,0.089168491,550,0.104663279,0.774756656,45.73583607,0.055226262,0.264046284,0.664524915,0.100156321,0.235320376,0.605826199,0.488143815,0.527171039,0.22012828,9.615226395,9.568243972,9.030216511,8.683570288,9.383424973,9.985444853,E5033,E09000005,Brent,L,16203,89191,105394,10500,17169,27669,77725
15,Brighton & Hove,South East,7800,7000,750,11%,852,79%,155,700,325,5900,900,0.563992868,0.352309373,0.08369632,0.212913837,0.225662962,4.109207453,4.800241288,25000,0.315583935,0.380447713,0.730224239,0.261316839,1600,0.302660805,7.318996617,0.652839355,0.080741657,550,0.086517489,0.733541124,43.71826618,0.072411714,0.226935414,0.791328323,0.141828877,0.0668428,0.771298639,0.572085781,0.493063744,0.127591452,9.36050967,9.219536233,8.744919172,8.374979322,10.42657686,9.687891049,E1401,E06000043,Brighton & Hove UA,UA,26957,93481,120438,17375,17434,34809,85629
16,Bristol,South West,12000,10500,1500,8%,957,79%,173,850,650,8900,1400,0.487307591,0.434546779,0.078146609,0.186608476,0.18549455,6.497160662,5.168787304,63000,0.343885117,0.399634242,0.736187126,0.289140077,2800,0.33125035,6.266150769,0.665882798,0.107344372,1200,0.074857429,0.799660922,41.88820318,0.113119048,0.208887526,0.786483696,0.125250244,0.08826606,0.84586414,0.491058801,0.527590602,0.166994449,10.07793827,8.98543731,8.263189393,8.153112596,9.132308964,8.978998695,E0102,E06000023,Bristol UA,UA,32565,182493,215058,50053,7675,57728,157330
17,Bromley,London,7200,6900,250,4%,312,92%,114,550,425,5200,950,0.600006127,0.250571503,0.14942237,0.246126397,0.390614868,5.743632461,4.121498218,36000,0.391675856,0.388760758,0.685986173,0.279976005,1800,0.272251122,7.721617044,0.774303291,0.091185032,650,0.104663279,0.836143801,44.99100767,0.05857707,0.251085017,0.660355696,0.117513017,0.222132746,0.605826199,0.481190361,0.527171039,0.174594769,9.449819805,9.568243972,8.481047352,8.683570288,9.288320149,9.985444853,E5034,E09000006,Bromley,L,10263,90676,100939,13809,17704,31513,69426
18,Bury,North West,5300,4700,650,10%,538,78%,88,450,250,3900,700,0.457876472,0.402318551,0.139804978,0.222380719,0.214671787,5.13415511,5.507111486,20500,0.409316264,0.341105224,0.622042198,0.33094661,1300,0.301673567,10.66759778,0.759281654,0.08854761,375,0.070555475,0.837143648,44.63277268,0.086418702,0.263671784,0.883570014,0.039474973,0.076955013,0.927907989,0.640748153,0.574447303,0.066699312,8.747342683,8.625317525,8.21845272,7.96388592,9.971547743,8.843358886,E4202,E08000002,Bury,MD,13294,69471,82765,10589,19028,29617,53148
19,Calderdale,Yorkshire and the Humber,6200,5100,1100,11%,652,72%,96,450,250,4900,600,0.516135459,0.397970516,0.085894024,0.171261345,0.196084667,6.181278982,6.029229693,29000,0.381108681,0.366197886,0.718215838,0.289823218,1400,0.311660638,8.718046188,0.710329101,0.067773943,350,0.055513416,0.821157681,42.73729551,0.111808998,0.22672298,0.962775705,0.009113738,0.028110556,0.925473709,0.548564192,0.57061915,0.100466142,8.509818008,8.783693196,7.9058104,7.992481685,8.561167168,9.278567484,E4702,E08000033,Calderdale,MD,16151,66248,82399,12887,16637,29524,52875
20,Camden,London,7000,6100,850,5%,374,82%,40,550,250,5700,500,0.281985453,0.40031037,0.317704177,0.484484766,0.390614868,7.616761384,4.121498218,38000,0.320999992,0.388760758,0.791971913,0.223671748,1100,0.272251122,5.910411298,0.594162491,0.047904363,250,0.104663279,0.806887011,42.44643091,0.060945697,0.194046716,0.570587119,0.191283146,0.238131369,0.605826199,0.540140435,0.527171039,0.075718528,10.74541713,9.568243972,9.472252036,8.683570288,10.48225227,9.985444853,E5011,E09000007,Camden,L,18810,104303,123113,9422,33261,42683,80430
21,Central Bedfordshire,Eastern,4600,4400,250,13%,594,81%,94,400,200,3500,550,0.505733286,0.387170307,0.107096407,0.35811553,0.261152713,4.994012786,4.934628776,20500,0.362845844,0.389379679,0.637780403,0.316366282,1300,0.339015306,7.765663705,0.710477092,0.1121675,500,0.096876067,0.831301215,43.35388278,0.099586836,0.250437752,0.803229943,0.122623386,0.074146671,0.816081532,0.454655336,0.476663883,0.121028637,8.564152509,8.964711058,8.182105835,8.184630706,9.500221298,8.946562533,E0203,E06000056,Central Bedfordshire UA,UA,25452,72383,97835,15201,2897,18098,79737
22,Cheshire East,North West,10500,9800,750,10%,999,83%,181,750,600,7800,1500,0.465024914,0.470395032,0.064579035,0.22795173,0.214671787,4.428133309,5.507111486,41000,0.350345142,0.341105224,0.764733166,0.346017092,3200,0.301673567,8.019130791,0.687845062,0.098909839,1000,0.070555475,0.805061041,43.59705663,0.106007845,0.256281448,0.88505419,0.060691102,0.054254708,0.927907989,0.497930649,0.574447303,0.093998475,9.112247103,8.625317525,8.117845348,7.96388592,9.743463177,8.843358886,E0603,E06000049,Cheshire East UA,UA,35412,106054,141466,23984,715,24699,116767
23,City of London,London,1800,1800,25,1%,14,98%,335,175,25,1500,150,0.34933617,0.65066383,0,0,0.390614868,5.629830064,4.121498218,9900,0.681421077,0.388760758,0.391001229,0.202697308,350,0.272251122,5.709402746,0.539463314,0.043927226,75,0.104663279,0.798139402,47.49786439,0.017939123,0.268662474,0.391982232,0.177583537,0.430434231,0.605826199,0.99889775,0.527171039,0.000501524,9.53477098,9.568243972,8.399108402,8.683570288,9.133559457,9.985444853,E5010,E09000001,City of London,L,1079.652133,5185.49258,6265.144713,218.506052,349.43847,567.944522,5697.200191
24,Cornwall,South West,17000,15500,1700,6%,1072,84%,7,1500,700,13000,2000,0.522624359,0.41177255,0.065603091,0.155239599,0.18549455,5.161230823,5.168787304,75000,0.36700838,0.399634242,0.618371689,0.327020859,4800,0.33125035,7.883704147,0.6820457,0.07111931,1100,0.074857429,0.802498456,42.4756564,0.123582035,0.244936901,0.939289882,0.044259664,0.0164498,0.84586414,0.603910456,0.527590602,0.142262926,8.749291892,8.98543731,7.975365746,8.153112596,9.228584193,8.978998695,E0801,E06000052,Cornwall UA,UA,29727,213284,243011,24171,44387,68558,174453
25,Coventry,West Midlands,9000,8400,650,10%,862,83%,176,750,325,7000,950,0.490594546,0.417001835,0.092404815,0.261295038,0.228483853,4.867291887,4.929270438,39000,0.495275427,0.356604118,0.663912343,0.301375924,2400,0.295452131,7.536797552,0.767603224,0.097038132,850,0.066944312,0.816761136,41.88942072,0.095063034,0.179792271,0.747755109,0.083780557,0.168464334,0.871078776,0.566950752,0.572395799,0.12455826,9.626215784,8.844568308,8.171924049,8.011474827,9.475318011,9.473416934,E4602,E08000026,Coventry,MD,23600,84296,107896,12544,13575,26119,81777
26,Croydon,London,12000,11500,650,4%,533,90%,238,1000,550,9500,1100,0.579502494,0.221599435,0.19889807,0.3675224,0.390614868,5.070984087,4.121498218,53000,0.385727544,0.388760758,0.781681139,0.266832865,2800,0.272251122,7.204683508,0.730831797,0.127858507,1500,0.104663279,0.777814841,45.36291103,0.047184414,0.251076452,0.543403042,0.099190319,0.357406639,0.605826199,0.456128554,0.527171039,0.17814036,9.493785004,9.568243972,8.57364677,8.683570288,10.32144845,9.985444853,E5035,E09000008,Croydon,L,25493.39844,128710.3744,154203.7728,15873.0585,31313.41298,47186.47148,107017.3013
27,Darlington,North East,3900,3500,400,5%,203,84%,55,275,175,3000,450,0.439548187,0.469122991,0.091328822,0.175075974,0.265734674,5.472060156,5.783992399,17500,0.338493694,0.327421339,0.662558499,0.270512357,850,0.270785038,8.233545174,0.724735628,0.061602918,200,0.071449654,0.859924927,43.38895798,0.108767807,0.256733306,0.934383675,0.040738612,0.024877713,0.958808622,0.540685724,0.611708381,0.139045887,8.553258837,8.558657559,7.872457035,7.887192607,8.993436922,9.235702254,E1301,E06000005,Darlington UA,UA,7185,37048,44233,9094,6307,15401,28832
28,Doncaster,Yorkshire and the Humber,7900,6800,1100,9%,698,78%,130,600,300,6000,1000,0.590424612,0.344203291,0.065372096,0.123170721,0.196084667,8.029511646,6.029229693,53000,0.290522027,0.366197886,0.807595738,0.227224708,1500,0.311660638,7.898767443,0.690970137,0.052198003,375,0.055513416,0.840120648,42.82381058,0.112166482,0.245543078,0.945033004,0.03220117,0.022765826,0.925473709,0.582842352,0.57061915,0.107732265,8.399691596,8.783693196,7.803652334,7.992481685,8.82812806,9.278567484,E4402,E08000017,Doncaster,MD,22016,98835,120851,25012,15496,40508,80343
29,Dudley,West Midlands,7800,6900,900,11%,829,78%,142,600,300,5900,900,0.510447032,0.440069431,0.04948501,0.161712571,0.228483853,4.411971783,4.929270438,29000,0.278189355,0.356604118,0.666551832,0.224803515,1500,0.295452131,9.427833625,0.730803432,0.05744862,400,0.066944312,0.851871809,43.18616946,0.101599444,0.23420284,0.947161222,0.016561254,0.036278996,0.871078776,0.635103263,0.572395799,0.111782944,8.420471927,8.844568308,7.830158081,8.011474827,9.316587081,9.473416934,E4603,E08000027,Dudley,MD,23882.10718,100519.7105,124401.8177,17258.37434,19107.89919,36366.27353,88035.54416
30,Durham,North East,14500,13000,1200,7%,1087,84%,201,850,750,11000,1700,0.552410283,0.304516019,0.143073698,0.271860182,0.265734674,6.433720447,5.783992399,79000,0.342971529,0.327421339,0.780326482,0.317146819,3900,0.270785038,8.954908263,0.752648048,0.103483064,1400,0.071449654,0.872746136,43.43411787,0.091998278,0.249037454,0.981699832,0.011085825,0.007214343,0.958808622,0.59952523,0.611708381,0.1572704,8.348714323,8.558657559,7.986020689,7.887192607,9.694856532,9.235702254,E1302,E06000047,Durham UA,UA,38904,189082,227986,40858,51937,92795,135191
31,Ealing,London,6900,6300,550,7%,472,85%,111,550,375,5300,650,0.674722722,0.292113022,0.033162651,0.394174038,0.390614868,1.537978613,4.121498218,8900,0.511492957,0.388760758,0.386316897,0.271063484,1600,0.272251122,7.874874475,0.624361948,0.062198202,375,0.104663279,0.820671755,44.2180156,0.077025002,0.231171256,0.631644802,0.149229525,0.219124068,0.605826199,0.3671585,0.527171039,0.272912917,9.455875116,9.568243972,8.623087392,8.683570288,9.818563331,9.985444853,E5036,E09000009,Ealing,L,19241,121496,140737,15570,23580,39150,101587
32,East Riding of Yorkshire,Yorkshire and the Humber,12000,9900,2200,10%,1252,71%,187,900,325,9400,1400,0.502886467,0.372067331,0.125046202,0.24518735,0.196084667,4.295927816,6.029229693,39000,0.362534804,0.366197886,0.812158081,0.347622317,3200,0.311660638,7.108200139,0.629616356,0.05180943,500,0.055513416,0.880423485,42.28369059,0.12656346,0.236852638,0.967577022,0.018606328,0.01381563,0.925473709,0.549319072,0.57061915,0.15400787,8.578904311,8.783693196,7.901681426,7.992481685,8.922500913,9.278567484,E2001,E06000011,East Riding of Yorkshire UA,UA,20753,129282,150035,29710,34099,63809,86226
33,Enfield,London,9300,7500,1700,3%,300,78%,163,700,350,7600,650,0.510015276,0.364206535,0.125778189,0.410085096,0.390614868,5.888819098,4.121498218,41000,0.421457658,0.388760758,0.639334815,0.279107362,2000,0.272251122,6.526904585,0.639712399,0.098600717,750,0.104663279,0.828903665,45.69631305,0.04927815,0.274608935,0.639395758,0.132178586,0.228425656,0.605826199,0.582018741,0.527171039,0.150694823,8.809684326,9.568243972,8.134165736,8.683570288,8.645945848,9.985444853,E5037,E09000010,Enfield,L,12925.55525,111849.2983,124774.8536,19480.72968,27367.76053,46848.49021,77926.36337
34,Gateshead,North East,6100,5600,500,13%,767,79%,94,450,275,4600,750,0.520220202,0.335367136,0.144412663,0.171586221,0.265734674,6.846891752,5.783992399,35000,0.242401799,0.327421339,0.799871664,0.214755948,1100,0.270785038,8.915802029,0.710116083,0.073092507,400,0.071449654,0.842519885,44.12515498,0.09567391,0.259583524,0.96401511,0.010506167,0.025478723,0.958808622,0.551187654,0.611708381,0.120761099,8.817573893,8.558657559,7.967329322,7.887192607,8.417126057,9.235702254,E4501,E08000037,Gateshead,MD,22161,87651,109812,13419,28302,41721,68091
35,Greenwich,London,7000,6200,800,7%,503,81%,90,600,275,5400,700,0.531475293,0.251419819,0.217104888,0.287902933,0.390614868,3.220347597,4.121498218,18000,0.196990178,0.388760758,0.732553199,0.141399947,800,0.272251122,8.340229092,0.704497029,0.018873206,100,0.104663279,0.800938895,45.4126842,0.032478811,0.234536632,0.634682154,0.067308115,0.298009731,0.605826199,0.563683894,0.527171039,0.131909255,9.479669377,9.568243972,8.424065194,8.683570288,9.162163478,9.985444853,E5012,E09000011,Greenwich,L,21787,101978,123765,9206,32237,41443,82322
36,Hackney,London,5300,4700,600,11%,585,77%,40,475,175,4200,475,0.445377516,0.270285145,0.284339497,0.326355796,0.390614868,4.074675651,4.121498218,16000,0.283101892,0.388760758,0.735226959,0.200071662,800,0.272251122,8.811084205,0.791083946,0.133792564,600,0.104663279,0.755535844,45.87522446,0.012645033,0.251053213,0.55109163,0.11193843,0.33696994,0.605826199,0.752171173,0.527171039,0.083404555,11.51226928,9.568243972,9.491597279,8.683570288,11.04323158,9.985444853,E5013,E09000012,Hackney,L,18709,75014,93723,5958,19743,25701,68022
37,Halton,North West,3200,2500,650,26%,841,53%,35,300,125,2300,400,0.52798236,0.286707615,0.185310025,0.14149117,0.214671787,6.867177132,5.507111486,15000,0.263333592,0.341105224,0.789448586,0.328734888,700,0.301673567,8.925229569,0.768372658,0.057343433,125,0.070555475,0.841341588,44.85808495,0.059176445,0.265574626,0.977603515,0.016221658,0.006174827,0.927907989,0.476806697,0.574447303,0.053099437,9.258695358,8.625317525,7.896080046,7.96388592,10.7184034,8.843358886,E0601,E06000006,Halton UA,UA,15283,62840,78123,8861,30356,39217,38906
38,Hammersmith & Fulham,London,3700,3100,550,9%,327,76%,33,275,150,2900,325,0.544497605,0.197865366,0.257637029,0.411331944,0.390614868,3.118656719,4.121498218,9000,0.317840494,0.388760758,0.592210884,0.154488373,450,0.272251122,4.688454529,0.432525079,0.15081007,500,0.104663279,0.796568244,43.14258448,0.08464168,0.203154075,0.473797433,0.299723276,0.22647929,0.605826199,0.683989289,0.527171039,0.127117319,10.26515274,9.568243972,9.499447039,8.683570288,12.51814044,9.985444853,E5014,E09000013,Hammersmith & Fulham,L,13640,76624,90264,201,30596,30797,59467
39,Haringey,London,4600,3900,700,7%,305,78%,83,400,100,3800,375,0.56685881,0.231130775,0.202010415,0.287864069,0.390614868,4.014250213,4.121498218,13500,0.408462109,0.388760758,0.805949304,0.156021793,550,0.272251122,6.827395968,0.67139938,0.045915911,175,0.104663279,0.816807918,45.23398844,0.049595572,0.261263815,0.608092682,0.153059042,0.238848276,0.605826199,0.682232226,0.527171039,0.122049892,9.337215823,9.568243972,8.239999199,8.683570288,10.01471044,9.985444853,E5038,E09000014,Haringey,L,13546.7291,91267.59643,104814.3255,9092.334564,16591.07673,25683.41129,79130.91424
40,Harrow,London,6600,5500,1100,6%,366,77%,121,500,225,5300,550,0.528099291,0.371162811,0.100737898,0.413637562,0.390614868,4.495558138,4.121498218,20500,0.446688952,0.388760758,0.746827113,0.369373134,1700,0.272251122,6.974498928,0.645167534,0.203950001,1200,0.104663279,0.812919019,44.70126657,0.060091763,0.235911644,0.545694183,0.212121212,0.242182762,0.605826199,0.409126855,0.527171039,0.121523649,9.549856155,9.568243972,8.389137137,8.683570288,9.497563588,9.985444853,E5039,E09000015,Harrow,L,12119.83151,73348.88759,85468.7191,7965.24312,10028.9883,17994.23142,67474.48768
41,Hartlepool,North East,3400,2800,700,9%,295,72%,37,200,125,2800,325,0.512177489,0.375994507,0.111828004,0.291958207,0.265734674,4.886407658,5.783992399,12500,0.353792169,0.327421339,0.695926063,0.234315259,600,0.270785038,7.632085068,0.696104075,0.040921021,100,0.071449654,0.869161018,42.99635983,0.099933881,0.232829086,0.991219275,0.001605743,0.007174982,0.958808622,0.558729501,0.611708381,0.064211551,9.053696728,8.558657559,7.913934837,7.887192607,9.847909699,9.235702254,E0701,E06000001,Hartlepool UA,UA,8608,44889.53336,53497.53336,10646,13552.38146,24198.38146,29299.15189
42,Havering,London,6400,5600,750,5%,290,84%,110,425,300,4900,750,0.455460908,0.308637514,0.235903349,0.398735982,0.390614868,6.921195389,4.121498218,34000,0.358165847,0.388760758,0.684300211,0.302642855,1500,0.272251122,6.908877706,0.656129052,0.134399017,750,0.104663279,0.853217347,43.91492501,0.071235623,0.218965936,0.680853212,0.111883999,0.20726456,0.605826199,0.463748939,0.527171039,0.177906612,8.371010185,9.568243972,8.116473345,8.683570288,9.110857701,9.985444853,E5040,E09000016,Havering,L,14001,67787,81788,10662,6676,17338,64450
43,Herefordshire,West Midlands,6300,5600,700,5%,291,84%,133,500,275,4800,750,0.496861749,0.42270453,0.080431937,0.212869681,0.228483853,5.541534764,4.929270438,29000,0.430453419,0.356604118,0.607246149,0.38391358,2000,0.295452131,8.324498682,0.680288933,0.039956676,225,0.066944312,0.827367685,43.37071121,0.115903085,0.267337943,0.88171648,0.089566743,0.028716776,0.871078776,0.57822803,0.572395799,0.106953722,8.697365806,8.844568308,7.99814992,8.011474827,9.289212503,9.473416934,E1801,E06000019,Herefordshire UA,UA,8045,73448,81493,10622,12680,23302,58191
44,Hillingdon,London,5500,5100,450,6%,350,86%,95,425,275,4300,500,0.5512227,0.280588342,0.168188959,0.307999531,0.390614868,3.73271146,4.121498218,17000,0.391973321,0.388760758,0.81166475,0.211734069,1000,0.272251122,6.388568807,0.686747419,0.115647837,600,0.104663279,0.844158191,42.6625397,0.088604754,0.207448805,0.722206003,0.119572924,0.158221073,0.605826199,0.489516739,0.527171039,0.18019054,9.296788668,9.568243972,8.282299397,8.683570288,9.396755568,9.985444853,E5041,E09000017,Hillingdon,L,8358.01707,86634.79,94992.80707,10310.13321,17192.76411,27502.89732,67489.90975
